customer_id,Contact,Segment
21868593,789-916-8172,Platinum
75740424,265-543-1264,Silver
30308357,798-631-4758,Silver
47830476,413-187-7945,Silver
19269962,956-871-8691,Gold
21831191,419-712-8513,Gold
18401412,752-398-2914,Gold
73486606,256-968-9172,Silver
32813689,142-324-7481,Silver
33507197,165-519-4583,Gold
99103685,764-439-9856,Gold
51583214,743-486-5264,Platinum
35875366,954-964-1746,Platinum
21240703,473-561-2675,Silver
18288638,314-135-1359,Platinum
63240241,843-379-4796,Silver
1407979,165-217-1648,Silver
63916778,146-157-4572,Platinum
17004138,436-354-4682,Silver
9667764,643-978-8251,Platinum
75584003,723-418-3248,Silver
90012444,749-961-7265,Platinum
10665308,324-971-8395,Silver
35597589,826-731-3964,Gold
1924109,431-179-6475,Gold
12871942,591-436-5176,Platinum
32155446,847-936-7645,Gold
35876516,496-426-6748,Silver
13265356,462-587-7532,Silver
80379865,427-513-8479,Gold
64899302,784-623-7631,Platinum
11278282,148-178-1792,Silver
90425966,942-259-7583,Silver
70459181,493-937-8297,Platinum
91546921,496-784-4836,Platinum
26489135,654-456-1493,Platinum
76422302,958-971-7983,Gold
27205554,521-912-8139,Silver
60225946,715-356-4572,Gold
34790013,935-615-6297,Platinum
53333796,857-215-9123,Gold
28307541,763-156-1836,Gold
85536059,145-285-4675,Platinum
54642094,963-813-1973,Silver
47091036,247-436-8713,Gold
48277275,928-469-4368,Silver
75252854,542-927-5413,Gold
31012778,328-683-8359,Gold
84571128,946-639-5932,Gold
38286862,791-831-2514,Gold
1163515,978-352-7634,Silver
18361978,463-645-2453,Platinum
94953428,671-517-9548,Gold
42333031,972-361-7416,Platinum
91786228,826-243-9763,Gold
61051505,649-461-2967,Platinum
8132649,436-953-6352,Platinum
49428676,587-946-2153,Silver
77436411,679-324-1357,Platinum
44319192,432-234-3617,Platinum
57510487,512-657-2135,Gold
62797342,348-186-6349,Gold
56923917,451-134-7825,Silver
83088652,968-236-9367,Platinum
53087364,462-412-7423,Platinum
9089663,763-973-2741,Silver
83290720,185-825-6547,Gold
78364565,862-483-5218,Silver
99761663,643-246-4718,Silver
6298259,712-891-4759,Silver
51936868,538-723-7261,Gold
35907845,384-637-2368,Platinum
17390816,269-384-1923,Gold
9908654,179-894-5412,Platinum
47228798,364-634-3715,Platinum
11593991,642-812-6451,Silver
15036122,893-237-4791,Silver
59046302,854-356-9378,Silver
74058124,172-685-2746,Silver
95221640,712-754-5719,Silver
5956033,984-397-3427,Silver
91462331,163-429-1675,Platinum
7946799,645-968-6519,Gold
83884401,947-962-9473,Gold
36498462,635-136-5671,Silver
88191021,915-523-3148,Platinum
88567908,817-685-2347,Gold
72896975,813-784-4983,Gold
85650096,954-368-9137,Gold
51349085,258-762-9482,Silver
90202451,413-642-7842,Platinum
55180831,482-319-5783,Gold
14433043,314-341-6783,Gold
56590042,254-651-9452,Silver
43870673,428-238-4918,Gold
84734050,974-457-9312,Silver
73246256,146-597-5429,Platinum
2632562,498-597-9658,Platinum
74125758,876-786-8624,Gold
92752865,143-219-5498,Silver
47086007,347-618-5821,Gold
33987747,719-927-1936,Platinum
37312925,274-346-6391,Gold
13233814,583-753-8415,Platinum
32561536,718-215-2831,Platinum
73456835,376-294-4612,Silver
84767457,964-984-9257,Platinum
31901720,574-674-6381,Silver
67885239,682-368-5823,Platinum
94448966,845-768-2513,Gold
94633091,826-537-1348,Platinum
90116906,645-465-4938,Platinum
82832313,679-793-3672,Silver
87993949,754-586-4891,Platinum
61810954,724-493-6179,Silver
55782839,918-849-3279,Gold
39587790,615-154-3516,Gold
14293434,269-431-3781,Platinum
46620413,164-158-7981,Platinum
53798973,732-893-6125,Silver
15556454,952-296-8234,Silver
61497833,179-439-6237,Platinum
92889077,975-548-7142,Gold
19171044,281-597-6245,Platinum
93291407,945-839-1768,Gold
96710523,846-174-8946,Silver
52542420,371-247-1395,Silver
37741743,327-256-9257,Gold
48145469,946-341-3157,Silver
25709472,534-697-3498,Gold
58402401,134-129-8167,Silver
23092790,362-847-6954,Platinum
62476442,528-237-8379,Silver
39943087,473-567-7234,Platinum
41265642,912-385-7549,Gold
73383008,594-592-6745,Gold
77896466,613-614-1378,Gold
83526368,468-698-7189,Platinum
31439710,824-246-5734,Gold
30227653,945-734-2691,Silver
86993944,596-612-5431,Silver
65728108,438-675-4587,Platinum
45539668,613-276-2471,Silver
3159546,586-129-9752,Platinum
88449349,975-547-5196,Platinum
35937389,971-841-3152,Silver
19441247,439-538-7538,Platinum
7208859,372-267-3189,Gold
65950591,543-543-2549,Silver
2327487,215-589-3761,Platinum
30722342,316-863-5832,Silver
31289360,869-486-1267,Gold
24826170,361-476-4591,Gold
14860484,864-361-2564,Gold
39642700,745-342-2471,Silver
3689105,923-198-9827,Silver
58850120,819-478-8453,Platinum
76965994,132-927-9824,Gold
14490971,614-652-1274,Silver
88277241,684-482-6745,Platinum
87386746,741-473-8976,Gold
55157616,136-736-1978,Gold
